epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,4882.38,0.87204,0.41723,1.06968,0.98128,0.96752,0.99234,0.78651,0.84228,0.35011,1.06494,0.004192,0.004192,0.004192
90,4937.05,0.8725,0.41452,1.06421,0.97276,0.95708,0.99097,0.76631,0.90955,0.3638,1.10244,0.004126,0.004126,0.004126
91,4991.91,0.86441,0.4168,1.06256,0.96656,0.97229,0.99237,0.77022,0.88231,0.35434,1.07688,0.00406,0.00406,0.00406
92,5046.56,0.85166,0.40951,1.05738,0.97194,0.9652,0.99199,0.78071,0.85652,0.34449,1.07205,0.003994,0.003994,0.003994
93,5101.36,0.85368,0.40776,1.05983,0.98095,0.95577,0.99153,0.74714,0.94535,0.36353,1.11846,0.003928,0.003928,0.003928
94,5156.09,0.85822,0.41439,1.06741,0.96415,0.971,0.99198,0.77866,0.85437,0.35145,1.06822,0.003862,0.003862,0.003862
95,5210.77,0.84685,0.40293,1.05674,0.97474,0.96868,0.99233,0.78827,0.846,0.33939,1.06361,0.003796,0.003796,0.003796
96,5265.61,0.84672,0.40212,1.05063,0.96891,0.9768,0.99161,0.77988,0.86525,0.35014,1.07439,0.00373,0.00373,0.00373
97,5320.44,0.85596,0.41029,1.05144,0.97668,0.97175,0.99187,0.7777,0.86813,0.34691,1.07252,0.003664,0.003664,0.003664
98,5375.16,0.84237,0.39736,1.05435,0.97662,0.96898,0.99206,0.7834,0.85389,0.34651,1.06698,0.003598,0.003598,0.003598
99,5429.96,0.84161,0.40173,1.05709,0.98118,0.96786,0.99253,0.78917,0.8449,0.3403,1.06692,0.003532,0.003532,0.003532
100,5484.74,0.84605,0.39764,1.05864,0.97169,0.96868,0.9927,0.78284,0.86446,0.34854,1.07441,0.003466,0.003466,0.003466
101,5539.6,0.85153,0.4074,1.06014,0.96957,0.97448,0.99247,0.77925,0.86294,0.34468,1.07424,0.0034,0.0034,0.0034
102,5594.3,0.83616,0.39911,1.05418,0.96538,0.97912,0.99255,0.78007,0.87683,0.34529,1.07936,0.003334,0.003334,0.003334
103,5649.02,0.83844,0.39506,1.05045,0.98083,0.96868,0.99276,0.77692,0.8901,0.34494,1.08416,0.003268,0.003268,0.003268
104,5703.72,0.84298,0.39621,1.05584,0.97316,0.96749,0.99294,0.78188,0.86981,0.34473,1.07303,0.003202,0.003202,0.003202
105,5758.47,0.82549,0.39144,1.04524,0.97433,0.9686,0.9919,0.78573,0.82528,0.33974,1.05356,0.003136,0.003136,0.003136
106,5813.29,0.83769,0.39767,1.04732,0.97122,0.97866,0.99241,0.7827,0.83552,0.33904,1.05315,0.00307,0.00307,0.00307
107,5868,0.83495,0.39173,1.04961,0.98551,0.96404,0.99263,0.79109,0.83379,0.33688,1.0539,0.003004,0.003004,0.003004
